time,mean_current,resolved_phase,epsilon_eff,slips,baseline_magnitude,gated_magnitude,baseline_entropy,gated_entropy,gated_alpha,gated_mu
0.0000,0.938470,0.000000,0.180000,0,1.795269,1.795269,0.901962,0.901962,1.052136,0.550000
0.0500,0.938471,0.016858,0.180000,0,1.795262,1.795103,0.903868,0.903868,1.051032,0.551199
0.1000,0.938476,0.033713,0.180000,0,1.795236,1.794767,0.905718,0.905719,1.049950,0.552364
0.1500,0.938484,0.050563,0.180000,0,1.795180,1.794257,0.907515,0.907516,1.048888,0.553495
0.2000,0.938496,0.067403,0.180000,0,1.795083,1.793573,0.909259,0.909263,1.047847,0.554593
0.2500,0.938510,0.084231,0.180000,0,1.794938,1.792713,0.910954,0.910959,1.046827,0.555660
0.3000,0.938527,0.101045,0.180000,0,1.794737,1.791678,0.912599,0.912608,1.045826,0.556697
0.3500,0.938547,0.117841,0.180000,0,1.794473,1.790467,0.914197,0.914210,1.044846,0.557705
0.4000,0.938570,0.134616,0.180000,0,1.794141,1.789084,0.915749,0.915767,1.043886,0.558684
0.4500,0.938596,0.151368,0.180000,0,1.793737,1.787529,0.917256,0.917281,1.042944,0.559635
0.5000,0.938623,0.168093,0.180000,0,1.793257,1.785805,0.918721,0.918753,1.042022,0.560561
0.5500,0.938654,0.184790,0.180000,0,1.792698,1.783917,0.920143,0.920184,1.041119,0.561460
0.6000,0.938686,0.201454,0.180000,0,1.792058,1.781867,0.921524,0.921575,1.040234,0.562334
0.6500,0.938720,0.218085,0.180000,0,1.791336,1.779659,0.922867,0.922929,1.039368,0.563185
0.7000,0.938756,0.234678,0.180000,0,1.790530,1.777299,0.924170,0.924245,1.038519,0.564012
0.7500,0.938793,0.251231,0.180000,0,1.789641,1.774791,0.925437,0.925526,1.037688,0.564817
0.8000,0.938831,0.267743,0.180000,0,1.788668,1.772140,0.926667,0.926772,1.036874,0.565599
0.8500,0.938870,0.284210,0.180000,0,1.787612,1.769351,0.927863,0.927985,1.036077,0.566361
0.9000,0.938910,0.300630,0.180000,0,1.786473,1.766430,0.929024,0.929165,1.035297,0.567102
0.9500,0.938951,0.317002,0.180000,0,1.785254,1.763383,0.930152,0.930314,1.034533,0.567823
1.0000,0.938991,0.333321,0.180000,0,1.783956,1.760215,0.931248,0.931432,1.033785,0.568525
1.0500,0.939031,0.349588,0.180000,0,1.782581,1.756933,0.932313,0.932520,1.033053,0.569208
1.1000,0.939071,0.365799,0.180000,0,1.781131,1.753543,0.933347,0.933579,1.032336,0.569873
1.1500,0.939111,0.381953,0.180000,0,1.779609,1.750050,0.934351,0.934610,1.031635,0.570521
1.2000,0.939149,0.398047,0.180000,0,1.778016,1.746461,0.935327,0.935614,1.030949,0.571151
1.2500,0.939187,0.414081,0.180000,0,1.776357,1.742782,0.936274,0.936591,1.030278,0.571764
1.3000,0.939223,0.430052,0.180000,0,1.774634,1.739019,0.937194,0.937542,1.029621,0.572361
