time,baseline_effective_mass,gated_effective_mass,baseline_gap,gated_gap,baseline_chern,gated_chern,baseline_transition_margin,gated_transition_margin
0.0000,1.441714,1.441714,1.170208,1.170208,1,1,0.558286,0.558286
0.0500,1.439900,1.439802,1.173460,1.173636,1,1,0.560100,0.560198
0.1000,1.438126,1.437838,1.176642,1.177160,1,1,0.561874,0.562162
0.1500,1.436385,1.435818,1.179767,1.180785,1,1,0.563615,0.564182
0.2000,1.434668,1.433740,1.182851,1.184519,1,1,0.565332,0.566260
0.2500,1.432970,1.431601,1.185903,1.188364,1,1,0.567030,0.568399
0.3000,1.431283,1.429401,1.188936,1.192324,1,1,0.568717,0.570599
0.3500,1.429603,1.427137,1.191959,1.196400,1,1,0.570397,0.572863
0.4000,1.427926,1.424810,1.194979,1.200594,1,1,0.572074,0.575190
0.4500,1.426246,1.422419,1.198005,1.204906,1,1,0.573754,0.577581
0.5000,1.424561,1.419965,1.201043,1.209336,1,1,0.575439,0.580035
0.5500,1.422867,1.417448,1.204097,1.213882,1,1,0.577133,0.582552
0.6000,1.421163,1.414870,1.207173,1.218544,1,1,0.578837,0.585130
0.6500,1.419445,1.412232,1.210274,1.223319,1,1,0.580555,0.587768
0.7000,1.417713,1.409535,1.213404,1.228204,1,1,0.582287,0.590465
0.7500,1.415965,1.406781,1.216564,1.233196,1,1,0.584035,0.593219
0.8000,1.414200,1.403973,1.219757,1.238292,1,1,0.585800,0.596027
0.8500,1.412417,1.401112,1.222984,1.243488,1,1,0.587583,0.598888
0.9000,1.410616,1.398201,1.226245,1.248779,1,1,0.589384,0.601799
0.9500,1.408798,1.395243,1.229540,1.254161,1,1,0.591202,0.604757
1.0000,1.406961,1.392240,1.232870,1.259629,1,1,0.593039,0.607760
1.0500,1.405107,1.389195,1.236233,1.265179,1,1,0.594893,0.610805
1.1000,1.403236,1.386112,1.239629,1.270804,1,1,0.596764,0.613888
1.1500,1.401349,1.382992,1.243057,1.276501,1,1,0.598651,0.617008
1.2000,1.399447,1.379839,1.246514,1.282262,1,1,0.600553,0.620161
1.2500,1.397530,1.376657,1.249999,1.288083,1,1,0.602470,0.623343
1.3000,1.395600,1.373448,1.253511,1.293959,1,1,0.604400,0.626552
1.3500,1.393659,1.370215,1.257045,1.299882,1,1,0.606341,0.629785
1.4000,1.391707,1.366962,1.260601,1.305848,1,1,0.608293,0.633038
1.4500,1.389746,1.363692,1.264175,1.311850,1,1,0.610254,0.636308
1.5000,1.387778,1.360408,1.267765,1.317884,1,1,0.612222,0.639592
1.5500,1.385803,1.357113,1.271367,1.323942,1,1,0.614197,0.642887
1.6000,1.383825,1.353811,1.274979,1.330019,1,1,0.616175,0.646189
1.6500,1.381844,1.350504,1.278598,1.336109,1,1,0.618156,0.649496
1.7000,1.379862,1.347196,1.282221,1.342207,1,1,0.620138,0.652804
1.7500,1.377881,1.343889,1.285844,1.348307,1,1,0.622119,0.656111
1.8000,1.375902,1.340587,1.289465,1.354403,1,1,0.624098,0.659413
1.8500,1.373928,1.337292,1.293079,1.360490,1,1,0.626072,0.662708
1.9000,1.371960,1.334008,1.296684,1.366562,1,1,0.628040,0.665992
1.9500,1.369999,1.330738,1.300278,1.372614,1,1,0.630001,0.669262
2.0000,1.368048,1.327483,1.303855,1.378641,1,1,0.631952,0.672517
2.0500,1.366108,1.324247,1.307414,1.384638,1,1,0.633892,0.675753
2.1000,1.364181,1.321033,1.310952,1.390599,1,1,0.635819,0.678967
2.1500,1.362269,1.317842,1.314465,1.396519,1,1,0.637731,0.682158
2.2000,1.360372,1.314678,1.317950,1.402395,1,1,0.639628,0.685322
2.2500,1.358493,1.311543,1.321405,1.408221,1,1,0.641507,0.688457
2.3000,1.356632,1.308438,1.324826,1.413993,1,1,0.643368,0.691562
2.3500,1.354792,1.305368,1.328212,1.419707,1,1,0.645208,0.694632
2.4000,1.352975,1.302332,1.331559,1.425358,1,1,0.647025,0.697668
2.4500,1.351180,1.299334,1.334864,1.430943,1,1,0.648820,0.700666
2.5000,1.349409,1.296376,1.338126,1.436457,1,1,0.650591,0.703624
2.5500,1.347665,1.293459,1.341342,1.441898,1,1,0.652335,0.706541
2.6000,1.345947,1.290585,1.344510,1.447261,1,1,0.654053,0.709415
2.6500,1.344257,1.287756,1.347627,1.452543,1,1,0.655743,0.712244
2.7000,1.342597,1.284973,1.350692,1.457741,1,1,0.657403,0.715027
2.7500,1.340966,1.282238,1.353703,1.462852,1,1,0.659034,0.717762
2.8000,1.339367,1.279553,1.356657,1.467873,1,1,0.660633,0.720447
2.8500,1.337799,1.276919,1.359554,1.472802,1,1,0.662201,0.723081
2.9000,1.336264,1.274337,1.362392,1.477635,1,1,0.663736,0.725663
2.9500,1.334762,1.271808,1.365169,1.482371,1,1,0.665238,0.728192
3.0000,1.333294,1.269333,1.367884,1.487007,1,1,0.666706,0.730667
3.0500,1.331861,1.266914,1.370535,1.491541,1,1,0.668139,0.733086
